Position,Ville,Title,Price,Surface,Surface Terrain,Options,Folder,Rooms,Visite,Date
"46.30780685025476, -0.9932890908616513",Marans,Rue virecourt,"82,460€",49,85,"jardin,cave",ruevirecourt,"salon,cuisine",Oui,
"46.31196285006336, -0.9916044870795723",Marans,Hangar 7 rue d'Aligre,"169,000€",100,,"patio,hangar",ruealigre7,"salon,chambre1,chambre2",Non,
"46.30899186662734, -0.9964298298697774",Marans,Maison tortueuse rue de bordeaux,"180,200€",66,,jardin,ruebordeaux26,"cuisine,salon,chambre1,chambre2,sdb,cave,atelier,jardin",Oui,
"46.30858503200879, -0.9922314612350708",Marans,Boulangerie rue d'aligre,"110,000€",110,,,ruealigre69,,Oui,
"46.30520063350176, -0.9965070127517802",Marans,Chalet avenue de la gare,"106,500€",,,,avgare38,,Oui,
"46.30934460512549, -0.9956514762733771",Marans,Maison moche en angle avec terrain coin L'enant Saint jean ,"169,500€",77,,,,,Non,
"46.31033170467372, -0.9931259374373944",Marans,Boutique verte gambetta,"128,000€",113,,cour,gambetta56,,Oui,
"46.311573622559614, -0.9910374852411212",Marans,Maison fer forgée louée bord sévres,"160,500€",101,,,quai62,,Non,
"46.3097457674165, -0.9909811124577688",Marans,Charmante maison rue de la grève,"137,500€",73,,jardin,ruegreve5,,Oui,
"46.31037070391535, -0.9911117531084602",Marans,Le Couloir,,,,,,,Oui,
"46.31023222373665, -0.9911826170555494",Marans,Maison en U rue Gambetta,"145,850€",113,,,gambetta20,,Oui,
"46.30891305426632, -0.9909286628078185",Marans,Maison en angle rue Guillerie Grève,"145,000€",80,,,ruegreve34,,Oui,
"46.31072722685245, -0.9923276144755229",Marans,Maison garages rue neuve,"174,900€",120,,,rueneuve8A,,Non,
"46.31161891222919, -0.9923899460457819",Marans,Appartement terasse vue Sèvre,"110,000€",44,,,quaifoch10,,Oui,
"46.37230274344739, -0.9235470133980556",LeGué,Maison volet verts dans la campagne,"250,000€",317,,,ruechereau9,,Non,
"46.31161226484316, -0.9926388944021289",Marans,Appartement vue Sèvre,"117,500€",62,,,quaifoch14,,Oui,
"46.30807907447382, -0.9912342571246685",Marans,Maison basse avec étage rue barrière,"139,500€",85,,,ruebarriere7,,Oui,
"46.194537698113, -0.8249925445332773",Benon,Maison charentaise benon,"249,000€",203,,,benonruedesmoulins24,,Non,
"46.336427053955504, -1.3125299317751586",Aiguillon,Belle maison basse,"261,250€",86,,,aiguillonruedesboutetes1,,Non,
"46.34002976134541, -1.3190160961058262",Aiguillon,Maison avec petite veranda,"202,900€",82,,,aiguillonruegaby69,,Non,
"46.3380951252822, -1.3142296864890084",Aiguillon,Chalet,"218,700€",92,,,aiguillonruegaby21,,Non,
"46.311400915335554, -0.9959427090862359",Marans,Rue ovale,"206,670€",80,95,,maransrueovale3,,Non,
"46.3125559990026, -0.9963491491559571",Marans,Le tunnel/la caravane quai fusiliers marins,"50,000€",24,,,quaifusiller27,,Oui,7/10/2021
"46.456921995516076, -1.1652735066908737",Lucon,maison sur tréteaux ,"127,000€",79,,,rueprosper7,,Oui,7/10/2021
"46.44757465342909, -1.171911397861808",Lucon,maison marais,"121,900€",55,307,"2 ch, garage, jardin",rueclairaye76,,Oui,11/10/2021
"46.30921705353182, -0.9984546589275041",Marans,44 rue bordeaux,"115,000€",44,,,ruebordeaux44,,Oui,12/10/2021
"46.31192720676954, -0.9953569082277861",Marans,Triplex,"123,050€",74,,,,,Non,21/11/2021
"46.312262,-0.997238",Marans,4 Rue bateau,"191,100€",170,113,"3etages, veranda, dépendance",ruebateau4,,Non,22/11
"46.31145796068166, -0.99861616055373",Marans,Bureau souflet,"84,000€",75,,,,,Non,22/11
"46.310734335914454, -0.9940269974351319",Marans,Ancienne pharmacie,"250,000€",195,,"jardin, cour, dépendances",,,Non,11/2021
"46.31068999254279, -0.9918602093634344",Marans,rue aligre,"212,000€",350,,"commerce, maison, cour, cave",,,Non,11/2021
,Marans,place republique melons,"490,700€",155,,"2 garages, cour",,,Non,11/2021
"46.309538509235935, -0.9946483656662192",Marans,rue colombier,"362,000€",139,,"cour, si sans garage 274000",,,Non,11/2021
"46.31158577978151, -0.9916429504489988",Marans,rue aligre face credit agricole,"92,650€",63,,2 etages,,,Non,11/2021
"46.310107306111, -0.9911145553058316",Marans,rue gambetta kinés,"260,000€",171,,"2 etages, cour, jardinet",,,Non,11/2021
,Marans,appart coin place republique clemenceau ,"86,000€",34,,cour commune,,,Non,11/2021
"46.311055594635405, -0.9934549677838843",Marans,maison louée rue des halles,"114,000€",79,,"2 etages, grenier aménageable, cour",,,oui,07/2021
"46.311055594635405, -0.9934549677838843",Marans,maison louée rue des herbes ,"104,000€",79,,"2 etages, grenier aménageable, garage",,,oui,07/2021
"46.31162347700323, -0.9925081486173439",Marans,appart grande maison quai de sevre,"91,250€",46,,"vendu loué 4680e 1 er étage, place parking box",,,Non,11/2021
,Marans,appart grande maison quai de sevre,"91,250€",50,,415 euros ,,,Non,11/2021
"46.31234067420423, -0.991258969799273",Marans,maison rue aligre coin mec travaillant ferrraille,"75,500€",70,,1 etage 2 ch en enfilade a rénover ,,,Non,11/2021
,,,,,,,,,,
"46.21202074477013, -1.1923343334455847",Esnandes,Grosse maison découpée en 3,"450,000€",150,,,ruechapelle22,,,
"46.308729311804285, -0.9939153616089151",Marans,rue dino,"230,000€",110,306,90m2 de dependance,ruedino26,,Oui,
"46.308951400866135, -0.9945397811671232",Marans,chauffe eau coin rue dino rue mme l'enfant,"215,000€",150,,,ruedino17,,Oui,
"46.3120084157961, -0.995679719682313",Marans,Petite rue du port face au port,"244,500€",85,237,,petiterueduport,,Oui,
"46.30549213624848, -0.9963985522216717",Marans,Coté caserne,"240,000€",162,1029,54m2 de garage,avgare25,,Oui,
"46.307793396018546, -0.9998130041312222",Marans,Maison ancien collègue papa,"260,000€",120,1045,,ruemoulin52,,Oui,
"46.30963532133912, -0.9910111998577508",Marans,Ancienne assurance,"215,000€",135,286,30m2 garage,ruegreve9,,Oui,03/2023
"46.31159640841169, -0.9957969860484037",Marans,Belle maison rennovée,"198,500€",97,92,,ruebateau46,,Oui,03/2023
"46.31146532983559, -0.995584420987187",Marans,Maison cour betonnée,"185,000€",85,188,20m2 garage,ruebateau52,,Oui,03/2023
"46.30952134673899, -0.9972044751389038",Marans,Maison grande cave,"250,000€",118,263,110m2 de dependance,mmelenfant24,,Oui,03/2023
"46.309159121182674, -0.9910525546052746",Marans,Maison ou il manque le garage,"218,000€",118,142,,ruegreve25,,Oui,03/2023
"46.310085249563166, -0.9907593775132719",Marans,Grosse maison face feu rouge,"320,000€",200,314,,gambetta4,,Non,